t,s,alpha(t+s)-beta(s),alpha(t+s),beta(s),gamma_used
-13.56000000000003,-50.0,0,0,0,1
-13.550000000000031,-50.0,0,0,0,1
-13.540000000000031,-50.0,0,0,0,1
-13.530000000000031,-50.0,0,0,0,1
-13.520000000000032,-50.0,0,0,0,1
-13.510000000000032,-50.0,0,0,0,1
-13.500000000000032,-50.0,0,0,0,1
-13.490000000000032,-50.0,0,0,0,1
-13.480000000000032,-50.0,0,0,0,1
-13.470000000000033,-50.0,0,0,0,1
-13.460000000000033,-50.0,0,0,0,1
-13.450000000000033,-50.0,0,0,0,1
-13.440000000000033,-50.0,0,0,0,1
-13.430000000000033,-50.0,0,0,0,1
-13.420000000000034,-50.0,0,0,0,1
-13.410000000000034,-50.0,0,0,0,1
-13.400000000000034,-50.0,0,0,0,1
-13.390000000000034,-50.0,0,0,0,1
-13.380000000000035,-50.0,0,0,0,1
-13.370000000000035,-50.0,0,0,0,1
-13.360000000000035,-50.0,0,0,0,1
-13.350000000000035,-50.0,0,0,0,1
-13.340000000000035,-50.0,0,0,0,1
-13.330000000000036,-50.0,0,0,0,1
-13.320000000000036,-50.0,0,0,0,1
-13.310000000000036,-50.0,0,0,0,1
-13.300000000000036,-50.0,0,0,0,1
-13.290000000000036,-50.0,0,0,0,1
-13.280000000000037,-50.0,0,0,0,1
-13.270000000000037,-50.0,0,0,0,1
-13.260000000000037,-50.0,0,0,0,1
-13.250000000000037,-50.0,0,0,0,1
-13.240000000000038,-50.0,0,0,0,1
-13.230000000000038,-50.0,0,0,0,1
-13.220000000000038,-50.0,0,0,0,1
-13.210000000000038,-50.0,0,0,0,1
-13.200000000000038,-50.0,0,0,0,1
-13.190000000000039,-50.0,0,0,0,1
-13.180000000000039,-50.0,0,0,0,1
-13.170000000000039,-50.0,0,0,0,1
-13.16000000000004,-50.0,0,0,0,1
-13.15000000000004,-50.0,0,0,0,1
-13.14000000000004,-50.0,0,0,0,1
-13.13000000000004,-50.0,0,0,0,1
-13.12000000000004,-50.0,0,0,0,1
-13.11000000000004,-50.0,0,0,0,1
-13.10000000000004,-50.0,0,0,0,1
-13.09000000000004,-50.0,0,0,0,1
-13.080000000000041,-50.0,0,0,0,1
-13.070000000000041,-50.0,0,0,0,1
-13.060000000000041,-50.0,0,0,0,1
-13.050000000000042,-50.0,0,0,0,1
-13.040000000000042,-50.0,0,0,0,1
-13.030000000000042,-50.0,0,0,0,1
-13.020000000000042,-50.0,0,0,0,1
-13.010000000000042,-50.0,0,0,0,1
-13.000000000000043,-50.0,0,0,0,1
-12.990000000000043,-50.0,0,0,0,1
-12.980000000000043,-50.0,0,0,0,1
-12.970000000000043,-50.0,0,0,0,1
-12.960000000000043,-50.0,0,0,0,1
-12.950000000000044,-50.0,0,0,0,1
-12.940000000000044,-50.0,0,0,0,1
-12.930000000000044,-50.0,0,0,0,1
-12.920000000000044,-50.0,0,0,0,1
-12.910000000000045,-50.0,0,0,0,1
-12.900000000000045,-50.0,0,0,0,1
-12.890000000000045,-50.0,0,0,0,1
-12.880000000000045,-50.0,0,0,0,1
-12.870000000000045,-50.0,0,0,0,1
-12.860000000000046,-50.0,0,0,0,1
-12.850000000000046,-50.0,0,0,0,1
-12.840000000000046,-50.0,0,0,0,1
-12.830000000000046,-50.0,0,0,0,1
-12.820000000000046,-50.0,0,0,0,1
-12.810000000000047,-50.0,0,0,0,1
-12.800000000000047,-50.0,0,0,0,1
-12.790000000000047,-50.0,0,0,0,1
-12.780000000000047,-50.0,0,0,0,1
-12.770000000000048,-50.0,0,0,0,1
-12.760000000000048,-50.0,0,0,0,1
-12.750000000000048,-50.0,0,0,0,1
-12.740000000000048,-50.0,0,0,0,1
-12.730000000000048,-50.0,0,0,0,1
-12.720000000000049,-50.0,0,0,0,1
-12.710000000000049,-50.0,0,0,0,1
-12.700000000000049,-50.0,0,0,0,1
-12.69000000000005,-50.0,0,0,0,1
-12.68000000000005,-50.0,0,0,0,1
-12.67000000000005,-50.0,0,0,0,1
-12.66000000000005,-50.0,0,0,0,1
-12.65000000000005,-50.0,0,0,0,1
-12.64000000000005,-50.0,0,0,0,1
-12.63000000000005,-50.0,0,0,0,1
