t,s,alpha(t+s)-beta(s),alpha(t+s),beta(s),gamma_used
-15.0,0.0,0,0,0,1
-14.9,0.0,0,0,0,1
-14.8,0.0,0,0,0,1
-14.700000000000001,0.0,0,0,0,1
-14.600000000000001,0.0,0,0,0,1
-14.500000000000002,0.0,0,0,0,1
-14.400000000000002,0.0,0,0,0,1
-14.300000000000002,0.0,0,0,0,1
-14.200000000000003,0.0,0,0,0,1
-14.100000000000003,0.0,0,0,0,1
-14.000000000000004,0.0,0,0,0,1
-13.900000000000004,0.0,0,0,0,1
-13.800000000000004,0.0,0,0,0,1
-13.700000000000005,0.0,0,0,0,1
-13.600000000000005,0.0,0,0,0,1
-13.500000000000005,0.0,0,0,0,1
-13.400000000000006,0.0,0,0,0,1
-13.300000000000006,0.0,0,0,0,1
-13.200000000000006,0.0,0,0,0,1
-13.100000000000007,0.0,0,0,0,1
-13.000000000000007,0.0,0,0,0,1
-12.900000000000007,0.0,0,0,0,1
-12.800000000000008,0.0,0,0,0,1
-12.700000000000008,0.0,0,0,0,1
-12.600000000000009,0.0,0,0,0,1
-12.500000000000009,0.0,0,0,0,1
-12.40000000000001,0.0,0,0,0,1
-12.30000000000001,0.0,0,0,0,1
-12.20000000000001,0.0,0,0,0,1
-12.10000000000001,0.0,0,0,0,1
-12.00000000000001,0.0,0,0,0,1
-11.900000000000011,0.0,0,0,0,1
-11.800000000000011,0.0,0,0,0,1
-11.700000000000012,0.0,0,0,0,1
-11.600000000000012,0.0,0,0,0,1
-11.500000000000012,0.0,0,0,0,1
-11.400000000000013,0.0,0,0,0,1
-11.300000000000013,0.0,0,0,0,1
-11.200000000000014,0.0,0,0,0,1
-11.100000000000014,0.0,0,0,0,1
-11.000000000000014,0.0,0,0,0,1
-10.900000000000015,0.0,0,0,0,1
-10.800000000000015,0.0,0,0,0,1
-10.700000000000015,0.0,0,0,0,1
-10.600000000000016,0.0,0,0,0,1
-10.500000000000016,0.0,0,0,0,1
-10.400000000000016,0.0,0,0,0,1
-10.300000000000017,0.0,0,0,0,1
-10.200000000000017,0.0,0,0,0,1
-10.100000000000017,0.0,0,0,0,1
-10.000000000000018,0.0,0,0,0,1
-9.900000000000018,0.0,0,0,0,1
-9.800000000000018,0.0,0,0,0,1
-9.700000000000019,0.0,0,0,0,1
-9.60000000000002,0.0,0,0,0,1
-9.50000000000002,0.0,0,0,0,1
-9.40000000000002,0.0,0,0,0,1
-9.30000000000002,0.0,0,0,0,1
-9.20000000000002,0.0,0,0,0,1
-9.100000000000021,0.0,0,0,0,1
-9.000000000000021,0.0,0,0,0,1
-8.900000000000022,0.0,0,0,0,1
-8.800000000000022,0.0,0,0,0,1
-8.700000000000022,0.0,0,0,0,1
-8.600000000000023,0.0,0,0,0,1
-8.500000000000023,0.0,0,0,0,1
-8.400000000000023,0.0,0,0,0,1
-8.300000000000024,0.0,0,0,0,1
-8.200000000000024,0.0,0,0,0,1
-8.100000000000025,0.0,0,0,0,1
-8.000000000000025,0.0,0,0,0,1
-7.900000000000025,0.0,0,0,0,1
-7.800000000000026,0.0,0,0,0,1
-7.700000000000026,0.0,0,0,0,1
-7.600000000000026,7.7,0.04999999999997318,4.099999999999974,4.050000000000001,1
-7.500000000000027,7.6000000000000005,0.1999999999999731,4.099999999999974,3.900000000000001,1
-7.400000000000027,7.5,0.349999999999973,4.099999999999973,3.75,1
-7.300000000000027,7.4,0.49999999999997247,4.099999999999973,3.6000000000000005,1
-7.200000000000028,7.300000000000001,0.6499999999999719,4.099999999999973,3.450000000000001,1
-7.100000000000028,7.2,0.7999999999999718,4.099999999999972,3.3000000000000003,1
-7.000000000000028,7.1000000000000005,0.9499999999999713,4.099999999999972,3.150000000000001,1
-6.900000000000029,7.0,1.0999999999999712,4.099999999999971,3.0,1
-6.800000000000029,6.9,1.2499999999999707,4.099999999999971,2.8500000000000005,1
-6.7000000000000295,6.800000000000001,1.3999999999999702,4.099999999999971,2.700000000000001,1
-6.60000000000003,6.7,1.54999999999997,4.09999999999997,2.5500000000000003,1
-6.50000000000003,6.6000000000000005,1.6999999999999695,4.09999999999997,2.400000000000001,1
-6.4000000000000306,6.5,1.8499999999999694,4.0999999999999694,2.25,1
-6.300000000000031,6.4,1.999999999999969,4.0999999999999694,2.1000000000000005,1
-6.200000000000031,6.300000000000001,2.1499999999999684,4.0999999999999694,1.950000000000001,1
-6.100000000000032,6.2,2.2999999999999683,4.099999999999969,1.8000000000000003,1
-6.000000000000032,6.1000000000000005,2.4499999999999678,4.099999999999969,1.6500000000000008,1
-5.900000000000032,6.0,2.5999999999999677,4.099999999999968,1.5,1
-5.800000000000033,5.9,2.749999999999967,4.099999999999968,1.3500000000000005,1
-5.700000000000033,5.800000000000001,2.8999999999999666,4.099999999999968,1.200000000000001,1
-5.600000000000033,5.7,3.0499999999999665,4.099999999999967,1.0500000000000003,1
-5.500000000000034,5.6000000000000005,3.199999999999966,4.099999999999967,0.9000000000000008,1
-5.400000000000034,5.5,3.349999999999966,4.099999999999966,0.75,1
-5.3000000000000345,5.4,3.4999999999999654,4.099999999999966,0.6000000000000005,1
-5.200000000000035,5.300000000000001,3.649999999999965,4.099999999999966,0.45000000000000107,1
-5.100000000000035,5.2,3.7999999999999647,4.099999999999965,0.30000000000000027,1
-5.0000000000000355,5.1000000000000005,3.949999999999964,4.099999999999965,0.1500000000000008,1
-4.900000000000036,5.0,4.099999999999964,4.099999999999964,0,1
-4.800000000000036,5.0,4.199999999999964,4.199999999999964,0,1
-4.700000000000037,5.0,4.299999999999963,4.299999999999963,0,1
-4.600000000000037,5.0,4.399999999999963,4.399999999999963,0,1
-4.500000000000037,5.0,4.499999999999963,4.499999999999963,0,1
-4.400000000000038,5.0,4.599999999999962,4.599999999999962,0,1
-4.300000000000038,5.0,4.699999999999962,4.699999999999962,0,1
-4.200000000000038,5.0,4.799999999999962,4.799999999999962,0,1
-4.100000000000039,5.0,4.899999999999961,4.899999999999961,0,1
-4.000000000000039,5.0,4.999999999999961,4.999999999999961,0,1
-3.9000000000000394,5.0,5.099999999999961,5.099999999999961,0,1
